autobahn,station_id,title,subtitle,description,latitude,longitude,extent,direction
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTczNzQ=,A3 | Köln | Raststätte Nentershausen Ost,Schnellladeeinrichtung,"A3 | Köln | Raststätte Nentershausen Ost 56412 Nentershausen  Ladepunkt 1: AC Kupplung Typ 2, DC CHAdeMO 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW  Ladepunkt 3: DC Kupplung Combo 300 kW  Ladepunkt 4: DC Kupplung Combo, DC CHAdeMO 300 kW",50.423135,7.928153,"7.928153,50.423135,7.928153,50.423135",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTczNjQ=,A3 | Köln | Raststätte Montabaur Ost,Schnellladeeinrichtung,"A3 | Köln | Raststätte Montabaur Ost 56410 Montabaur  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW  Ladepunkt 3: DC Kupplung Combo 300 kW  Ladepunkt 4: DC Kupplung Combo, DC CHAdeMO 300 kW",50.447712,7.850348,"7.850348,50.447712,7.850348,50.447712",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fOTk1Mw==,A3 | Köln | Raststätte Limburg Ost,Schnellladeeinrichtung,"A3 | Köln | Raststätte Limburg Ost 65549 Limburg  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW",50.396011,8.077496,"8.077496,50.396011,8.077496,50.396011",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTczNjM=,A3 | Köln | Raststätte Landsberg an der Warthe (2),Schnellladeeinrichtung,"A3 | Köln | Raststätte Landsberg an der Warthe (2) 56244 Sessenhausen  Ladepunkt 1: DC Kupplung Combo 300 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 300 kW",50.522947,7.67514,"7.67514,50.522947,7.67514,50.522947",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTczNjI=,A3 | Köln | Raststätte Landsberg an der Warthe (1),Schnellladeeinrichtung,"A3 | Köln | Raststätte Landsberg an der Warthe (1) 56244 Sessenhausen  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW",50.521421,7.695711,"7.695711,50.521421,7.695711,50.521421",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTY0NzQ=,A3 | Köln | Ohligser Heide West,Schnellladeeinrichtung,A3 | Köln | Ohligser Heide West 42697 Solingen  Ladepunkt 1: DC Kupplung Combo 350 kW  Ladepunkt 2: DC Kupplung Combo 350 kW  Ladepunkt 3: DC Kupplung Combo 350 kW  Ladepunkt 4: DC Kupplung Combo 350 kW,51.157481,6.962202,"6.962202,51.157481,6.962202,51.157481",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fOTQzMw==,A3 | Köln | Medenbach Ost,Schnellladeeinrichtung,"A3 | Köln | Medenbach Ost 65207 Wiesbaden  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW",50.095807,8.353607,"8.353607,50.095807,8.353607,50.095807",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fMTAxNjc=,A3 | Frankfurt am Main | Weiskirchen Nord,Schnellladeeinrichtung,"A3 | Frankfurt am Main | Weiskirchen Nord 63110 Rodgau  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW",50.055744,8.909382,"8.909382,50.055744,8.909382,50.055744",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fNDc5OA==,A3 | Frankfurt am Main | Spessart Nord,Schnellladeeinrichtung,A3 | Frankfurt am Main | Spessart Nord 63879 Weibersbrunn  Ladepunkt 1: DC Kupplung Combo 350 kW  Ladepunkt 2: DC Kupplung Combo 350 kW  Ladepunkt 3: DC Kupplung Combo 350 kW  Ladepunkt 4: DC Kupplung Combo 350 kW,49.898302,9.394346,"9.394346,49.898302,9.394346,49.898302",
A3,RUxFQ1RSSUNfQ0hBUkdJTkdfU1RBVElPTl9fNDc5Nw==,A3 | Frankfurt am Main | Raststätte Spessart Nord,Schnellladeeinrichtung,"A3 | Frankfurt am Main | Raststätte Spessart Nord 63879 Weibersbrunn  Ladepunkt 1: AC Kupplung Typ 2 43 kW  Ladepunkt 2: DC Kupplung Combo, DC CHAdeMO 50 kW",49.898294,9.394154,"9.394154,49.898294,9.394154,49.898294",
